scorer,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000,DLC_resnet50_texture_sucroseJun18shuffle1_126000
bodyparts,nose,nose,nose,head,head,head,neck,neck,neck,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
76,136.2020874,141.299057,1,130.9848328,151.5735321,1,127.1434402,165.1817932,1,125.7819824,194.2722931,1,119.1692886,235.3246155,1
77,137.6291504,136.7812042,1,131.7709503,147.098526,1,127.4878235,160.4593048,1,125.2210541,189.5417175,1,119.4820709,228.9582672,1
78,139.2825317,130.023056,1,133.3297119,140.4151001,1,129.5495605,154.9335632,1,127.4424591,183.6035309,1,120.4421768,223.2978058,1
79,140.1269379,125.9859238,1,134.634079,135.5271606,1,130.7488556,150.0319366,1,127.9649048,178.0286865,1,120.8471603,218.2753296,1
80,139.4089966,121.8442078,1,134.2587128,132.109314,1,131.043808,144.5817108,1,128.6825714,174.081543,1,120.2166901,212.0944061,1
81,137.0070801,121.0867615,1,132.0329132,130.6984406,1,129.3110962,143.1957397,1,128.3162689,170.2597198,1,120.3692322,207.9432831,1
82,135.5822296,117.6351318,1,130.1114655,126.8039551,1,126.9719391,140.5709076,1,126.6194458,167.3338776,1,120.6127396,205.443222,1
83,134.352478,115.341362,1,127.6846619,124.1485367,1,125.4827499,137.6400452,1,126.1572418,164.0608521,1,122.0875626,201.8223877,1
84,134.7540741,113.1660309,1,128.9000397,122.6275101,1,124.7833328,135.8752899,1,125.739502,162.3787384,1,124.0313644,199.3398743,1
85,133.6422424,110.2940292,1,127.869339,119.5491562,1,125.2351532,132.4695129,1,125.3403168,159.1538849,1,124.8911057,197.062973,1
86,135.2658234,106.7725296,1,128.7328949,116.2480392,1,126.5462112,129.2416687,1,125.3290405,156.6152649,1,126.5530701,194.2569885,1
87,138.9198303,100.2900314,1,132.8907623,110.0456009,1,129.5265656,123.7427216,1,127.7376099,152.1372681,1,127.5092697,190.3280945,1
88,144.2623444,95.94799805,1,138.2935486,104.8636627,1,133.3037415,118.2274857,1,129.5880737,145.7033844,1,128.414566,183.4059601,1
89,151.2376862,91.75621796,1,143.674408,101.1229706,1,137.7851257,112.4630051,1,132.6075287,139.6342621,1,128.1173859,176.6237183,1
90,159.2377167,89.56114197,1,149.8747559,97.56741333,1,141.3924561,107.8611832,1,133.123703,132.9762573,1,127.3241043,167.5296173,1
91,164.6140594,89.37529755,1,154.4129028,95.12252045,1,145.4146118,106.0640259,1,134.5047455,128.5356293,1,127.2556152,162.4876099,1
92,168.5912323,87.16762543,1,157.4174042,92.95993805,1,147.8263092,103.0920639,1,135.7438354,123.9810944,1,125.218811,157.6896973,1
93,171.1519012,85.93052673,1,159.4256744,90.84692383,1,149.1303406,100.0684586,1,134.9678345,121.2595062,1,124.7462463,153.5757141,1
94,173.5399628,85.47852325,1,161.3240051,90.24887085,1,149.5532837,97.77563477,1,134.771698,118.9027023,1,124.0156021,150.377533,1
95,172.0796661,84.09366608,1,161.0969849,89.09893799,1,150.2258301,97.32333374,1,135.8175659,117.3022614,1,124.6009827,147.5976715,1
96,166.0507355,81.88619232,1,157.6076965,88.57064819,1,149.7975922,97.07348633,1,136.7777252,116.7835999,1,125.3412323,145.1174774,1
97,163.105484,79.52082825,1,157.0619659,87.03213501,1,148.8977814,96.4382019,1,138.7908783,115.6349258,1,125.265419,144.100174,1
98,158.1106567,77.61322021,1,153.7415009,86.89506531,1,148.1496582,96.85488892,1,138.5693054,116.4772034,1,125.2826614,143.2185211,1
99,152.8672028,76.12207031,1,149.9272156,85.18861389,1,147.071579,96.24806976,1,137.6619873,118.112381,1,125.5101242,143.1561279,1
100,148.5675964,74.88638306,1,145.5995941,84.3390274,1,143.4750671,94.70774841,1,135.8590546,118.1014175,1,124.2645874,142.5097046,1
101,143.6568451,73.82855225,1,141.6123505,83.46934509,1,140.5926971,95.43123627,1,133.7935333,117.2892075,1,122.9172287,142.2422943,1
102,139.3524017,72.80722809,1,137.4824524,83.24546814,1,136.184021,94.92677307,1,129.875351,116.4352493,1,121.9211502,142.2398529,1
103,135.0323029,72.78177643,1,132.7384796,82.64959717,1,132.447876,94.93742371,1,127.8495255,115.5470886,1,121.8434372,142.2358246,1
104,131.9121246,73.72673798,1,129.950531,81.87358856,1,131.0456085,93.71734619,1,129.3175812,114.7779083,1,121.7450256,142.2715607,1
105,130.586853,72.26275635,1,128.0452728,80.20787048,1,130.0050354,92.90868378,1,129.2906189,114.0767593,1,121.7387085,142.1054993,1
106,128.9801788,72.17801666,1,126.9751511,80.34410095,1,128.8420563,92.69606781,1,129.3688354,113.6452408,1,121.9397736,141.9049683,1
107,127.5045319,72.69514465,1,127.0137177,80.60568237,1,128.5767517,92.77300262,1,129.3730469,113.5241928,1,121.88414,141.8496857,1
108,124.8196411,72.44147491,1,126.2438126,79.93691254,1,127.1698685,91.83964539,1,129.243515,113.0519943,1,122.1467972,142.0559692,1
109,121.307579,72.83744049,1,124.8954849,79.8605957,1,126.6333694,91.05023956,1,128.9246216,113.0341187,1,121.6612701,141.8908691,1
110,114.6746216,72.9768219,1,119.9085846,78.29470825,1,125.7949295,89.96296692,1,128.3518372,112.2952728,1,121.7181091,141.8690338,1
111,113.6868668,72.61058044,1,118.3163452,78.11355591,1,124.3582611,89.89907074,1,128.2167664,111.9933472,1,121.8644943,141.8265839,1
112,111.9530411,72.94949341,1,118.0194321,79.31118011,1,123.2972107,91.08943939,1,128.3826904,112.8358917,1,121.8313065,141.7502136,1
